file_name,transcription
15new4,el che guevara fue el segundo hombre que se unió a fidel castro en el exilio en méxico
190new,ordenó que se alistaran los cañones montados en los barcos e hicieron fuego
499,es necesario confirmar el vuelo
548new5,él fue presidente del club por cinco años
116,los nahuas los toltecas y los aztecas estuvieron esparcidos en la porción continental de méxico
238new4,cortés manda construir trece bergantines para atacar por agua a tenochtitlán
124new2,no eran adeptos a un tipo de guerra organizada y disciplinada
515new,busco un apartamento amueblado
340new4,tras mil dificultades los expedicionarios llegaron primero a la costa occidental de la actual colombia
244new,cuauhtemoc es hecho prisionero y la batalla se da por terminada
670,almagro volvió al norte para vengarse de su jefe
228new4,pedro de alvarado y sus tropas realizan una matanza durante la fiesta de toxcatl
664,más tarde pizarro y los suyos siguieron hacia el cuzco
415new,cuándo supiste
350new4,la historia los conoce con el nombre de los trece gallos
344new,como navegaban muy cerca de la costa pudieron capturar a un indio asombrado
102,la milicia clero y otros estaban en manos de los españoles peninsulares
134new2,los aztecas desarrollaron una gran actividad guerrera
609new2,mandó presentes y saludos para pizarro
499new5,es necesario confirmar el vuelo
48new5,fundó santiago la ciudad que lleva su nombre y luchó contra los aguerridos araucanos
515new4,busco un apartamento amueblado
489new5,necesito algo de comer
619new2,el plan de pizarro era apoderarse de atahualpa
658,atahualpa aprovechó la ocasión para mandar matar a su hermano
505new4,este hotel es barato
58new5,los aztecas desarrollaron una gran actividad guerrera
32new3,el presidente madero sin detenerse para analizar lo bueno del plan se preparó a combatirlo
290new1,fijó su atención en actividades tendientes a evitar que los sitiados fueran abastecidos con ví­veres
673new4,almagro fue vencido por pizarro
687new5,fue nombrado capitán general de la provincia
568new,en mil quinientos trece pizarro participa en la expedición de balboa que descubre el océano pacifico
417new2,mi hermano menor tiene dieciocho años
239new,los españoles e indios saquean y destruyen texcoco tlacopan y demás pueblos aliados a los aztecas
280new1,trabajosamente los españoles se abrieron paso ya que estuvieron a punto de ser aniquilados
22new3,el frente sandinista de liberación nacional tuvo sus orí­genes en mil novecientos sesenta y uno
468new,durante las vacaciones tomamos mucho sol
339new,luque se quedó en panamá
407new2,dime la verdad
663new4,lo condenaron a muerte y lo ejecutaron
697new5,acaudalados se unieran con el fin de construir fortificaciones
14new1,desgraciadamente martí­ murió el diecinueve de mayo en dos rí­os
17,el alto perú también era parte del virreinato de la plata
242new2,cuauhtemoc es nombrado emperador mexica
252new2,ninguno de los señores de tenochtitlán salió a recibirlo
358new2,soy de méxico
220new2,el dieciséis de junio de mil quinientos diecinueve marcha hacia tenochtitlán con quinientos veinte hombres
76new1,su verdadera historia de la conquista de la nueva españa es un libro clásico
7new1,como bolí­var querí­a libertad absoluta siguió luchando
348new2,señalando al sur dijo por aquí­ se va al perú a ser ricos
66new1,pero atahualpa ya no estaba ahí­ sino en un palacio fortificado
230new2,los aztecas atacan a las fuerzas de cortés y moctezuma es muerto
50new3,guadalupe victoria fue nombrado entonces como primer presidente de méxico
348new,señalando al sur dijo por aquí­ se va al perú a ser ricos
475new2,ellos son inteligentes
481new3,qué opinas
419new,cómo te sientes
611new4,entre los presentes habí­a ropa fina
40new3,en puebla fue derrotado y fusilado don nicolás bravo
601new4,atahualpa se encontraba en cajamarca
248new,se trasladó con la mitad de sus hombres al templo mayor
519new,es importante que ahorremos dinero
465new2,no vamos al juego sino a la playa
491new3,socorro
194new1,cortés continuó navegando por las costas del golfo de méxico y en lo que ahora es tabasco
577new4,duró tres años y terminó con la muerte de huascar
583new5,el inca ofrece pagar rescate
184new1,dos dí­as después de haberse embarcado la fuerza española arribó a la isla de cozumel
567new4,en mil quinientos diez pizarro participa en la expedición de alonzo de ojeda
593new5,mil quinientos treinta y ocho batalla de las salinas
182new,los mexicas recriminaron a cortés por meter en su ciudad a un número tan considerable de sus enemigos
322new4,habí­an de afrontar en las montañas una prueba de supervivencia que duraba nueve dí­as
335new,mientras esto sucedí­a los españoles habí­an estado explorando las costas de colombia y perú
464new,conoces un buen restaurante
146new2,sorprendieron a europeos y españoles cuando descubrieron el nuevo mundo
156new2,fue un incansable y audaz militar que motivó con su liderazgo a sus soldados
332new4,a atahualpa se le habí­a designado la parte norte del imperio con su capital en quito
235new,cuitlahuac es elegido emperador de los mexicas
564new,los indí­genas salí­an de sus viviendas a admirarlos
356new,dónde vives tu
407new,dime la verdad
626new3,abrazó a los recién llegados
506,podemos quedarnos en una pensión
442new5,no se preocupe
67new4,por eso ecuador decidió desconocer el acuerdo y una vez más la frontera parecí­a obscura
93new5,santa anna recibió parte del triunfo con setenta muertos pero se asegura que fueron más de trescientos
260,sin embargo el movimiento de los guerreros aztecas no fue lo suficientemente rápido
274,como respuesta a esa amenaza los guerreros de ixtapalapa abrieron una amplia brecha en un dique del lago
452new5,siga derecho para tomar el autobús
256new,sus hombres estaban agobiados por el hambre que el sitio de su cuartel le imponí­a
636new3,atahualpa se presentó en la ciudad andina
507new,no se aceptan tarjetas de crédito
6new4,centro américa se separó de méxico como un estado federado
77new4,sucre tomó guayaquil y quito donde derrotó definitivamente al enemigo
83new5,pero atahualpa ya no estaba ahí­ sino en un palacio fortificado
512,vivo en el quinto piso
217new5,cortés sostiene su primera batalla con los indios y al vencerlos recibe como regalo a la malinche
600new1,son muy semejantes a las acciones que trajeron como consecuencia la caí­da de la gran tenochtitlán
207new5,se enfrentó a pánfilo narváez y lo derrotó en zempoala incorporando las fuerzas vencidas a las suyas
248,se trasladó con la mitad de sus hombres al templo mayor
610new1,los comestibles consistí­an en carne de vicuña ciervo y otros animales
171new5,la primera lí­nea era de honderos y flecheros que constituí­an la infanterí­a ligera
185new4,después pasaron a la pení­nsula de yucatán y continuaron a lo largo del litoral
315new3,pachacutec alcanzó un éxito brillante en su actuación bélica y diplomática
299new2,por su parte los conquistadores traí­an consigo ideas del renacimiento
566new1,mil quinientos dos pizarro llega a la hispaniola
305new3,este imperio comprendí­a gran parte del ecuador actual para extenderse hacia el sur
161new5,se caracteriza su autor por su honradez objetividad espí­ritu de justicia e imparcialidad
195new4,desembarcó y los indí­genas del lugar lo recibieron con respeto y le entregaron nuevos regalos
289new2,después de una serie de luchas cortés suspendió de nueva cuenta sus invasiones
576new1,se inicia una guerra civil
1new,iturbide se auto nombró generalí­simo de mar y tierra
724new5,le encargó la misión a pedro valdivia
540new3,me llevo bien con todo el mundo
438new3,yo soñé con tener un buen trabajo
333new1,huáscar fue convencido por los nobles para que tomara el trono en el cuzco pero atahualpa controlaba la mayor parte del ejército y se rebeló
550new3,sabes a qué hora empieza la cena
428new3,siempre se despierta a las cinco y media
323new1,los incas traí­an a sus ingenieros para construir imponentes fortalezas
333new3,huáscar fue convencido por los nobles para que tomara el trono en el cuzco pero atahualpa controlaba la mayor parte del ejército y se rebeló
438new1,yo soñé con tener un buen trabajo
157new5,el emperador carlos v le otorgó el tí­tulo de marqués del valle
540new1,me llevo bien con todo el mundo
147new5,estas manifestaciones quedaron como muestra de su esplendor y desarrollo alcanzado
323new3,los incas traí­an a sus ingenieros para construir imponentes fortalezas
428new1,siempre se despierta a las cinco y media
289,después de una serie de luchas cortés suspendió de nueva cuenta sus invasiones
550new1,sabes a qué hora empieza la cena
566new3,mil quinientos dos pizarro llega a la hispaniola
592new2,comienza la guerra entre pizarro y almagro
702new5,los presidios tení­an la misión de proteger a los pobladores
315new1,pachacutec alcanzó un éxito brillante en su actuación bélica y diplomática
712new5,fundó la ciudad de popayán
576new3,se inicia una guerra civil
582new2,mil quinientos treintidós pizarro viaja a cajamarca y captura a atahualpa
305new1,este imperio comprendí­a gran parte del ecuador actual para extenderse hacia el sur
464new5,conoces un buen restaurante
490new4,estoy bien gracias
136new,el adiestramiento militar de los aztecas comenzaba a los quince años
600new3,son muy semejantes a las acciones que trajeron como consecuencia la caí­da de la gran tenochtitlán
667new,envió a uno de sus más poderosos tenientes
538,te gustarí­a trabajar en un banco
381new,me gustarí­a un vaso de agua
41new4,en mayo de mil novecientos dos los estados unidos reconocieron la independencia de cuba
77new,sucre tomó guayaquil y quito donde derrotó definitivamente al enemigo
610new3,los comestibles consistí­an en carne de vicuña ciervo y otros animales
474new5,soy muy optimista
480new4,es mejor que usted guarde cama
281new,dos expediciones más al sur del valle de méxico emprendió cortés el cinco de abril de mil quinientos veinte y uno
51new4,hernán cortés se encaminó hacia ixtapalapa
231new5,mueren doscientos españoles y dos mil indios aliados
262,lo único que querí­an los aztecas era expulsar hasta la frontera de tlaxcala a sus enemigos
349new5,sólo trece valientes pasaron la lí­nea sin vacilación alguna
626new1,abrazó a los recién llegados
504,señor garcí­a preséntese a la puerta numero once
510,el botones les subirá el equipaje en seguida
221new5,el treinta y uno de agosto de mil quinientos diecinueve sostiene una lucha contra los tlaxcaltecas y luego pacta una alianza con ellos
636new1,atahualpa se presentó en la ciudad andina
276,sin embargo no se disminuyó el espí­ritu agresor de cortés quien posteriormente atacó chalco
359new5,de dónde es usted
429new4,póngase un abrigo
551new4,en tu lugar yo irí­a a buenos aires
439new4,fernando dejó de fumar el año pasado
541new4,no sé nada de computadoras
288new5,estableció tres bases de operaciones en las orillas de los lagos
160new2,su verdadera historia de la conquista de la nueva españa es un libro clásico
194new3,cortés continuó navegando por las costas del golfo de méxico y en lo que ahora es tabasco
304new4,en tan sólo noventa años desde mil cuatrocientos cuarenta hasta mil quinientos treinta el pequeño reino se convirtió en un inmenso imperio
155new,hernán cortés fue uno de los conquistadores más destacados
604new,temí­a el emperador que los españoles ayudasen a su medio hermano
298new5,el impacto del jinete y caballo crearon un impacto psicológico
14new,desgraciadamente martí­ murió el diecinueve de mayo en dos rí­os
314new4,en mil cuatrocientos treinta y ocho pachacutec yupanqui se convirtió en inca y fue él quien inició la expansión de estado
170new2,el ejército mexica formaba tres lí­neas
184new3,dos dí­as después de haberse embarcado la fuerza española arribó a la isla de cozumel
481new1,qué opinas
50new1,guadalupe victoria fue nombrado entonces como primer presidente de méxico
206new2,cortés salió de inmediato contra narváez dejando a pedro de alvarado en tenochtitlán
491new1,socorro
216new2,en mil quinientos diecinueve cortés llega a cozumel y recoge a jerónimo de aguilar
40new1,en puebla fue derrotado y fusilado don nicolás bravo
7new3,como bolí­var querí­a libertad absoluta siguió luchando
76new3,su verdadera historia de la conquista de la nueva españa es un libro clásico
82new2,pedro joaquí­n chamorro era lí­der dentro de la udel
637new4,entró confiadamente en la plaza
128new,formaban tribus sub tribus y bandas casi independientes
679new,dio a veces muestras de discernimiento y de perspicacia o viveza de ingenio
453new2,esta tarea es para mañana
66new3,pero atahualpa ya no estaba ahí­ sino en un palacio fortificado
92new2,santa anna intentó seguir la guerra y capturar puebla
69new,se publicó en madrid el presidio polí­tico en cuba
443new2,no te quejes tanto
627new4,les pidió que se sentaran
549new2,yo jugaba mucho cuando era niño
15,el che guevara fue el segundo hombre que se unió a fidel castro en el exilio en méxico
14new3,desgraciadamente martí­ murió el diecinueve de mayo en dos rí­os
18new,el caciquismo se refiere a la excesiva influencia de los caciques
431new2,qué estás haciendo
655new4,lo habí­a hecho prisionero
559new2,me da lo mismo
645new4,ustedes han sido enviados por nuestro dios
608new,atahualpa decidió mandar a su hermano titu atauchi
421new2,tienes fiebre
159new,no es posible hablar de la conquista de méxico sin recordar bernal dí­az el castillo
178new4,complementaban tales efectivos doscientos indios y negros que hací­an las funciones de obreros y cazadores
29,el perú intervino en el conflicto en carácter de mediador amistoso
264new2,también hubiera sido realidad sin la indoblegable energí­a de cortés
290new3,fijó su atención en actividades tendientes a evitar que los sitiados fueran abastecidos con ví­veres
32new1,el presidente madero sin detenerse para analizar lo bueno del plan se preparó a combatirlo
168new4,para hacer la guerra era necesario hacer una declaración de guerra
22new1,el frente sandinista de liberación nacional tuvo sus orí­genes en mil novecientos sesenta y uno
274new2,como respuesta a esa amenaza los guerreros de ixtapalapa abrieron una amplia brecha en un dique del lago
280new3,trabajosamente los españoles se abrieron paso ya que estuvieron a punto de ser aniquilados
293new,así­ después de setenticinco dí­as de sitio se rindió la ciudad de tenochtitlán el trece de agosto de mil quinientos veinte y uno
366new4,hasta luego
392new5,colon llegó a las américas en mil cuatrocientos noventa y dos
65new,pedro joaquí­n chamorro era el candidato para sustituir a somoza cuando triunfara la revolución
128,formaban tribus sub tribus y bandas casi independientes
102new2,la milicia clero y otros estaban en manos de los españoles peninsulares
393new,no es que no puedo
112new2,también es lógico admitir que la emigración se producí­a no de una sola vez sino sucesivamente
675new,el hijo mestizo de almagro planeó y ejecutó el asesinato de pizarro
376new4,ella es abogada
382new5,dónde queda
124new,no eran adeptos a un tipo de guerra organizada y disciplinada
672,duró casi cuarenta años
533new4,te interesan las computadoras
114,las culturas dejaron manifestaciones de adelanto
100,también almagro y sus hombres participaron en el botí­n con los soldados de pizarro
666,los españoles comenzaron a reñir entre sí­
523new4,llegamos tarde porque tuvimos un pinchazo
253new5,era evidente que le estaban permitiendo la entrada para una vez dentro envolverlo sorpresivamente
644new1,se dirigió a los españoles en idioma quechua
243new5,novecientos españoles y ochenta mil indios apoyados con los bergantines se lanzan a la conquista final
654new1,pizarro mientras tanto habí­a tomado a atahualpa
169new1,en una ceremonia se pintaba de blanco al lí­der azteca para el combate
662new3,atahualpa no fue puesto en libertad
406new5,ella condujo el carro anoche
23new4,el general mariano arista se replegó hacia matamoros
416new5,es muy simpática
616new,esperaba encontrarlo
179new1,entre el siete y ocho de noviembre de mil quinientos diecinueve entró cortés a la metrópoli mexicana en orden de guerra
147new,estas manifestaciones quedaron como muestra de su esplendor y desarrollo alcanzado
672new3,duró casi cuarenta años
33new4,el virreinato de la plata fue uno de los cinco cabildos que se proclamaron independientes
59new2,los reyes de españa habí­an reconocido los abusos que cometí­an los blancos con la clase indí­gena
504new3,señor garcí­a preséntese a la puerta numero once
618new5,estaba herido e imposibilitado para combatir
488new2,no entiendo
377new1,ellas son cajeras
514new3,quién es el dueño de este edificio
49new2,george dewey estaba preparándose con órdenes de destruir la flota española
458,lo siento no tengo dinero
498new2,quisiera comprar un boleto de ida y vuelta
367new1,buenos dí­as
608new5,atahualpa decidió mandar a su hermano titu atauchi
316,su heredero tupac yupanqui tuvo la misma habilidad organizadora
135new5,formaron un ejército con organización y disciplina
351new3,a fines de mil quinientos veintisiete pizarro retornó a panamá
229new3,cortés regresa a tenochtitlán y ordena que moctezuma calme a su gente pero el pueblo ya no lo obedece
522new1,hace falta una pila más
470,no he vuelto a verla nunca
341new3,de allí­ siguieron viaje al perú
464,conoces un buen restaurante
125new5,carecí­an generalmente de organización polí­tica
239new3,los españoles e indios saquean y destruyen texcoco tlacopan y demás pueblos aliados a los aztecas
532new1,qué quiere ser usted en el futuro
302,ese pequeño grupo logró dominar a uno de los grupos indí­genas que tení­an una cultura y organización sobresaliente
125new4,carecí­an generalmente de organización polí­tica
465,no vamos al juego sino a la playa
341new2,de allí­ siguieron viaje al perú
303,ningún otro imperio tuvo un surgimiento y caí­da más dramático que el de los incas
239new2,los españoles e indios saquean y destruyen texcoco tlacopan y demás pueblos aliados a los aztecas
351new2,a fines de mil quinientos veintisiete pizarro retornó a panamá
135new4,formaron un ejército con organización y disciplina
317,las armas que fueron utilizadas fueron las mismas empleadas por otros pueblos de la región de los andes
471,jorge ya se ha ido
229new2,cortés regresa a tenochtitlán y ordena que moctezuma calme a su gente pero el pueblo ya no lo obedece
459,ella estuvo en caracas dos veces
49new3,george dewey estaba preparándose con órdenes de destruir la flota española
514new2,quién es el dueño de este edificio
608new4,atahualpa decidió mandar a su hermano titu atauchi
393new1,no es que no puedo
589new,almagro marcha hacia el sur en busca de riquezas
498new3,quisiera comprar un boleto de ida y vuelta
504new2,señor garcí­a preséntese a la puerta numero once
59new3,los reyes de españa habí­an reconocido los abusos que cometí­an los blancos con la clase indí­gena
383new1,queda lejos de aquí­
488new3,no entiendo
489new,necesito algo de comer
618new4,estaba herido e imposibilitado para combatir
686new3,pedro de alvarado continuó las exploraciones
416new4,es muy simpática
33new5,el virreinato de la plata fue uno de los cinco cabildos que se proclamaron independientes
406new4,ella condujo el carro anoche
696new3,esos asaltos trajeron graves consecuencias para sus poblaciones
23new5,el general mariano arista se replegó hacia matamoros
53new,jaime bateman cayón fue la influencia más importante de este movimiento
243new4,novecientos españoles y ochenta mil indios apoyados con los bergantines se lanzan a la conquista final
253new4,era evidente que le estaban permitiendo la entrada para una vez dentro envolverlo sorpresivamente
112new,también es lógico admitir que la emigración se producí­a no de una sola vez sino sucesivamente
643new,atahualpa se quejó
134new1,los aztecas desarrollaron una gran actividad guerrera
101,toda conquista imperialista deja un saldo negativo en el pueblo sometido
597new,se explicarán las acciones militares que llevó a cabo francisco pizarro
667,envió a uno de sus más poderosos tenientes
523new5,llegamos tarde porque tuvimos un pinchazo
30new,el perú se negó a ello declarando oficialmente la existencia del tratado secreto
124new1,no eran adeptos a un tipo de guerra organizada y disciplinada
497new,cuánto cuesta
673,almagro fue vencido por pizarro
171new,la primera lí­nea era de honderos y flecheros que constituí­an la infanterí­a ligera
115,los mayas desarrollaron más ampliamente sus elementos culturales en yucatán
620new,para eso lo esperarí­a en la plaza
533new5,te interesan las computadoras
376new5,ella es abogada
382new4,dónde queda
619new1,el plan de pizarro era apoderarse de atahualpa
112new3,también es lógico admitir que la emigración se producí­a no de una sola vez sino sucesivamente
609new1,mandó presentes y saludos para pizarro
102new3,la milicia clero y otros estaban en manos de los españoles peninsulares
129,muchas tribus indí­genas les buscaron como aliados contra sus rivales tradicionales
366new5,hasta luego
392new4,colon llegó a las américas en mil cuatrocientos noventa y dos
407new1,dime la verdad
168new5,para hacer la guerra era necesario hacer una declaración de guerra
274new3,como respuesta a esa amenaza los guerreros de ixtapalapa abrieron una amplia brecha en un dique del lago
280new2,trabajosamente los españoles se abrieron paso ya que estuvieron a punto de ser aniquilados
28,el partido comunista boliviano no apoya la idea de un foco guerrillero boliviano
178new5,complementaban tales efectivos doscientos indios y negros que hací­an las funciones de obreros y cazadores
417new1,mi hermano menor tiene dieciocho años
